CustomerKey,CustomerAlternateKey,(No column name),EmailAddress,GeographyKey
11000,AW00011000,Jon V Yang,jon24@adventure-works.com,26
11001,AW00011001,Eugene L Huang,eugene10@adventure-works.com,37
11002,AW00011002,Ruben  Torres,ruben35@adventure-works.com,31
11003,AW00011003,Christy  Zhu,christy12@adventure-works.com,11
11004,AW00011004,Elizabeth  Johnson,elizabeth5@adventure-works.com,19
11005,AW00011005,Julio  Ruiz,julio1@adventure-works.com,22
11006,AW00011006,Janet G Alvarez,janet9@adventure-works.com,8
11007,AW00011007,Marco  Mehta,marco14@adventure-works.com,40
11008,AW00011008,Rob  Verhoff,rob4@adventure-works.com,32
11009,AW00011009,Shannon C Carlson,shannon38@adventure-works.com,25
11010,AW00011010,Jacquelyn C Suarez,jacquelyn20@adventure-works.com,22
11011,AW00011011,Curtis  Lu,curtis9@adventure-works.com,22
11012,AW00011012,Lauren M Walker,lauren41@adventure-works.com,611
11013,AW00011013,Ian M Jenkins,ian47@adventure-works.com,543
11014,AW00011014,Sydney  Bennett,sydney23@adventure-works.com,634
11015,AW00011015,Chloe  Young,chloe23@adventure-works.com,301
11016,AW00011016,Wyatt L Hill,wyatt32@adventure-works.com,329
11017,AW00011017,Shannon  Wang,shannon1@adventure-works.com,39
11018,AW00011018,Clarence D Rai,clarence32@adventure-works.com,32
11019,AW00011019,Luke L Lal,luke18@adventure-works.com,52
11020,AW00011020,Jordan C King,jordan73@adventure-works.com,53
11021,AW00011021,Destiny  Wilson,destiny7@adventure-works.com,536
11022,AW00011022,Ethan G Zhang,ethan20@adventure-works.com,609
11023,AW00011023,Seth M Edwards,seth46@adventure-works.com,298
11024,AW00011024,Russell  Xie,russell7@adventure-works.com,311
11025,AW00011025,Alejandro  Beck,alejandro45@adventure-works.com,24
11026,AW00011026,Harold  Sai,harold3@adventure-works.com,4
11027,AW00011027,Jessie R Zhao,jessie16@adventure-works.com,40
11028,AW00011028,Jill  Jimenez,jill13@adventure-works.com,17
11029,AW00011029,Jimmy L Moreno,jimmy9@adventure-works.com,32
11030,AW00011030,Bethany G Yuan,bethany10@adventure-works.com,28
11031,AW00011031,Theresa G Ramos,theresa13@adventure-works.com,8
11032,AW00011032,Denise  Stone,denise10@adventure-works.com,35
11033,AW00011033,Jaime  Nath,jaime41@adventure-works.com,9
11034,AW00011034,Ebony  Gonzalez,ebony19@adventure-works.com,12
11035,AW00011035,Wendy  Dominguez,wendy12@adventure-works.com,33
11036,AW00011036,Jennifer C Russell,jennifer93@adventure-works.com,343
11037,AW00011037,Chloe M Garcia,chloe27@adventure-works.com,49
11038,AW00011038,Diana F Hernandez,diana2@adventure-works.com,6
11039,AW00011039,Marc J Martin,marc3@adventure-works.com,19
11040,AW00011040,Jesse  Murphy,jesse15@adventure-works.com,642
11041,AW00011041,Amanda M Carter,amanda53@adventure-works.com,325
11042,AW00011042,Megan J Sanchez,megan28@adventure-works.com,338
11043,AW00011043,Nathan M Simmons,nathan11@adventure-works.com,325
11044,AW00011044,Adam L Flores,adam10@adventure-works.com,25
11045,AW00011045,Leonard G Nara,leonard18@adventure-works.com,8
11046,AW00011046,Christine  Yuan,christine4@adventure-works.com,6
11047,AW00011047,Jaclyn D Lu,jaclyn12@adventure-works.com,34
11048,AW00011048,Jeremy  Powell,jeremy26@adventure-works.com,39
11049,AW00011049,Carol C Rai,carol8@adventure-works.com,307
11050,AW00011050,Alan  Zheng,alan23@adventure-works.com,31
11051,AW00011051,Daniel  Johnson,daniel18@adventure-works.com,21
11052,AW00011052,Heidi  Lopez,heidi19@adventure-works.com,8
11053,AW00011053,Ana E Price,ana0@adventure-works.com,359
11054,AW00011054,Deanna  Munoz,deanna33@adventure-works.com,34
11055,AW00011055,Gilbert  Raje,gilbert35@adventure-works.com,22
11056,AW00011056,Michele L Nath,michele19@adventure-works.com,10
11057,AW00011057,Carl J Andersen,carl12@adventure-works.com,5
11058,AW00011058,Marc  Diaz,marc6@adventure-works.com,29
11059,AW00011059,Ashlee J Andersen,ashlee19@adventure-works.com,27
11060,AW00011060,Jon L Zhou,jon28@adventure-works.com,40
11061,AW00011061,Todd M Gao,todd14@adventure-works.com,23
11062,AW00011062,Noah D Powell,noah5@adventure-works.com,547
11063,AW00011063,Angela  Murphy,angela41@adventure-works.com,634
11064,AW00011064,Chase  Reed,chase21@adventure-works.com,315
11065,AW00011065,Jessica  Henderson,jessica29@adventure-works.com,331
11066,AW00011066,Grace T Butler,grace62@adventure-works.com,543
11067,AW00011067,Caleb F Carter,caleb40@adventure-works.com,632
11068,AW00011068,Tiffany  Liang,tiffany17@adventure-works.com,40
11069,AW00011069,Carolyn  Navarro,carolyn30@adventure-works.com,23
11070,AW00011070,Willie T Raji,willie40@adventure-works.com,39
11071,AW00011071,Linda  Serrano,linda31@adventure-works.com,24
11072,AW00011072,Casey  Luo,casey6@adventure-works.com,17
11073,AW00011073,Amy  Ye,amy16@adventure-works.com,16
11074,AW00011074,Levi A Arun,levi6@adventure-works.com,28
11075,AW00011075,Felicia L Jimenez,felicia4@adventure-works.com,32
11076,AW00011076,Blake  Anderson,blake9@adventure-works.com,19
11077,AW00011077,Leah  Ye,leah7@adventure-works.com,36
11078,AW00011078,Gina E Martin,gina1@adventure-works.com,49
11079,AW00011079,Donald  Gonzalez,donald20@adventure-works.com,34
11080,AW00011080,Damien  Chander,damien32@adventure-works.com,30
11081,AW00011081,Savannah C Baker,savannah39@adventure-works.com,311
11082,AW00011082,Angela L Butler,angela17@adventure-works.com,322
11083,AW00011083,Alyssa F Cox,alyssa37@adventure-works.com,336
11084,AW00011084,Lucas  Phillips,lucas7@adventure-works.com,543
11085,AW00011085,Emily  Johnson,emily1@adventure-works.com,345
11086,AW00011086,Ryan  Brown,ryan43@adventure-works.com,369
11087,AW00011087,Tamara L Liang,tamara6@adventure-works.com,307
11088,AW00011088,Hunter  Davis,hunter64@adventure-works.com,359
11089,AW00011089,Abigail M Price,abigail25@adventure-works.com,337
11090,AW00011090,Trevor  Bryant,trevor18@adventure-works.com,338
11091,AW00011091,Dalton  Perez,dalton37@adventure-works.com,50
11092,AW00011092,Cheryl A Diaz,cheryl4@adventure-works.com,22
11093,AW00011093,Aimee A He,aimee13@adventure-works.com,19
11094,AW00011094,Cedric W Ma,cedric15@adventure-works.com,33
11095,AW00011095,Chad  Kumar,chad9@adventure-works.com,13
